Company,Job,Job ID,Job_URL,Cluster
Bank Mega,Retail Funding Training Program (Makassar),82058553,https://id.jobstreet.com/id/job/82058553,1
Jasamedika Saranatama,Operator IT RS Gigi Mulut Prov Sulsel,81995788,https://id.jobstreet.com/id/job/81995788,1
Siloam Hospitals Group,Marketing Executive Hospital (Makassar),82074255,https://id.jobstreet.com/id/job/82074255,1
New Hope Indonesia,Electrical,82072193,https://id.jobstreet.com/id/job/82072193,1
Persolkelly,HRBP Manager - Gadget Equipment Retail - Makassar (ID : 665502),81958633,https://id.jobstreet.com/id/job/81958633,1
PT Tigalapan Sukses Indonesia,Store Head Tigalapan Kaos,82024272,https://id.jobstreet.com/id/job/82024272,1
Kawan Lama,Inventory & Storing Staff,79429070,https://id.jobstreet.com/id/job/79429070,1
Indosat,Cluster Sales Executive TRI (Makassar),82074320,https://id.jobstreet.com/id/job/82074320,1
Bryan Medikal,"TEKNISI ALAT KESEHATAN (Penempatan MAKASSAR, PALU, MANADO)",81982519,https://id.jobstreet.com/id/job/81982519,1
PT Tigalapan Sukses Indonesia,Manager Sales & Operational,82024734,https://id.jobstreet.com/id/job/82024734,1
Jiva Agriculture,QC Assistant (Corn),77496272,https://id.jobstreet.com/id/job/77496272,1
Central Asia Raya Life Insurance,Bancassurance Marketing (Area Makassar),82122259,https://id.jobstreet.com/id/job/82122259,1
Orang Tua Group,Accounting Manager (Sulawesi),81863365,https://id.jobstreet.com/id/job/81863365,1
Galva Galindra Multi Cipta,Senior Sales Executive Makassar,82188191,https://id.jobstreet.com/id/job/82188191,1
OneMed,Area Sales Manager ( OTC ),81739627,https://id.jobstreet.com/id/job/81739627,1
Nutrilab Pratama,ACCOUNT EXECUTIVE (BIO MOLEKULER) AREA MAKASSAR,81848650,https://id.jobstreet.com/id/job/81848650,1
,Cashier,81804591,https://id.jobstreet.com/id/job/81804591,1
Penguin Indonesia,HR Operations Supervisor (Makassar),81719900,https://id.jobstreet.com/id/job/81719900,1
IMB Bank,Pengawas/Pelaksana Project Perumahan,81961512,https://id.jobstreet.com/id/job/81961512,1
Abadinusa Usahasemesta,Sales Executive (Makassar area),82252110,https://id.jobstreet.com/id/job/82252110,1
Home Credit Indonesia,Risk Trainer Sulawesi (Talent pool),82015407,https://id.jobstreet.com/id/job/82015407,1
Steel Pipe Industry of Indonesia,Sales Staf Makassar,81809854,https://id.jobstreet.com/id/job/81809854,1
Mizuho Leasing Indonesia,Field Collection,81946353,https://id.jobstreet.com/id/job/81946353,1
Smart Multi Finance,FIELD AUDIT COORDINATOR (Makassar/Balikpapan),82056939,https://id.jobstreet.com/id/job/82056939,1
Kawan Lama,Material Control,78575438,https://id.jobstreet.com/id/job/78575438,1
Asuransi Bintang,(JV2501003) Account Officer - Makassar,81225581,https://id.jobstreet.com/id/job/81225581,1
Manulife,Sales Bancassurance Area Makassar,81951661,https://id.jobstreet.com/id/job/81951661,1
Ismaya Group,M&E Staff (Makassar),82136035,https://id.jobstreet.com/id/job/82136035,1
,koordinator dapur,81922186,https://id.jobstreet.com/id/job/81922186,1
RGF HR Agent Recruitment,Sales Marketing - Manajemen Arsip (B2G)- Makassar (B-116166),82156576,https://id.jobstreet.com/id/job/82156576,1
Central Proteina Prima,Area Sales Supervisor (Pet Food),81835973,https://id.jobstreet.com/id/job/81835973,1
PT Tigalapan Sukses Indonesia,Marketing SPV,81737701,https://id.jobstreet.com/id/job/81737701,1
Pengiklan Anonim,Engineering Technician (Makassar),82219610,https://id.jobstreet.com/id/job/82219610,1
Pengiklan Anonim,Sales Supervisor (Makassar),81730372,https://id.jobstreet.com/id/job/81730372,1
Siloam Hospitals Group,Asisten Apoteker,81742525,https://id.jobstreet.com/id/job/81742525,1
Bank Danamon,Jabatan SME Relationship Manager,81824502,https://id.jobstreet.com/id/job/81824502,1
Moladin Digital Indonesia,Dealer Consultant Manager (Palu/Kendari),82084236,https://id.jobstreet.com/id/job/82084236,1
Aeon Credit Service,AEON Fast Agent (Sales Promotor) Area Makassar,82156904,https://id.jobstreet.com/id/job/82156904,1
Lippo Karawaci,Sales Manager (Makassar),81918164,https://id.jobstreet.com/id/job/81918164,1
Wiratman,Project Sheduler,82190512,https://id.jobstreet.com/id/job/82190512,1
Simas Life Insurance,Bancassurance Consultant (Makassar),81716616,https://id.jobstreet.com/id/job/81716616,1
PT Berkah Giat Jaya,Sales Consultant (SPB/SPG) - Sulawesi Area (Makassar - Manado),82152159,https://id.jobstreet.com/id/job/82152159,1
Indonusa Telemedia,Account Manager Corporate Makassar KTI,81718487,https://id.jobstreet.com/id/job/81718487,1
,Sales And Marketing,82077904,https://id.jobstreet.com/id/job/82077904,1
Bina Artha Ventura,Area Manager (Sulawesi Selatan),81896136,https://id.jobstreet.com/id/job/81896136,1
Dipo Star Finance,Field Collection (Makassar),81715773,https://id.jobstreet.com/id/job/81715773,1
Bosch,Area Sales Management Power Tools - Makassar,81903192,https://id.jobstreet.com/id/job/81903192,1
Euromedica Group,Sales Consultant - Makassar,82155192,https://id.jobstreet.com/id/job/82155192,1
Jiva Agriculture,Quality Specialist - Rice & Rice Bran,76396724,https://id.jobstreet.com/id/job/76396724,1
Bina Artha Ventura,BRANCH MANAGER BINA GROUP (Sulawesi Selatan),81830484,https://id.jobstreet.com/id/job/81830484,1
Lixil Water Technology,Sales Executive-Retail,81741736,https://id.jobstreet.com/id/job/81741736,1
AXA,"FINANCIAL ADVISOR - Pare Pare (Palopo, Topoyo, Bone Bone, Majene)",81709781,https://id.jobstreet.com/id/job/81709781,1
Virtue Diagnostics Indonesia,Sales Representative - Makassar,82154881,https://id.jobstreet.com/id/job/82154881,1
,SALES MARKETING,82127540,https://id.jobstreet.com/id/job/82127540,1
Cimory Dairy Shop,Landscape Supervisor,81672102,https://id.jobstreet.com/id/job/81672102,1
Home Credit Indonesia,Sales Associate Makassar/Palopo/Parepare/Bone/Pangkep,81943752,https://id.jobstreet.com/id/job/81943752,1
Miniso,Operational Specialist Makassar (Mandarin Speaker),82252925,https://id.jobstreet.com/id/job/82252925,1
AXA,FINANCIAL ADVISOR - Soppeng dan Pare Pare,81923928,https://id.jobstreet.com/id/job/81923928,1
Home Credit Indonesia,"Field Agent - Makassar, Pinrang, Parepare",81844574,https://id.jobstreet.com/id/job/81844574,1
IMB Bank,Video/Fotografer,81846569,https://id.jobstreet.com/id/job/81846569,1
Datascrip,Business Executive (Sales Wilayah Makassar),81954777,https://id.jobstreet.com/id/job/81954777,1
PT Cahaya Lentera Kasih Sentosa,English Teacher,81710046,https://id.jobstreet.com/id/job/81710046,1
Siloam Hospitals Group,Apoteker (Makassar),81720072,https://id.jobstreet.com/id/job/81720072,1
PT Nusantara Ekspres Kilat,Shift Lead - SPX Express (Kab. Bolaang Mongondow Timur - Sulawesi Utara),82267986,https://id.jobstreet.com/id/job/82267986,1
,Sales Executive,81846351,https://id.jobstreet.com/id/job/81846351,1
Kawan Lama,Kasir,80220514,https://id.jobstreet.com/id/job/80220514,1
AXA,Financial Advisor - Makassar (Pannampu & Bulukumba),81755460,https://id.jobstreet.com/id/job/81755460,1
PT Sumber Inti Global Sukses,Sales Unit dan Sparepart Alat Berat (Makassar),81879671,https://id.jobstreet.com/id/job/81879671,1
Home Credit Indonesia,Sales Trainer (Manado),82133504,https://id.jobstreet.com/id/job/82133504,1
Trimegah Securities Indonesia,Relationship Manager (Makassar),81811331,https://id.jobstreet.com/id/job/81811331,1
Finfleet,Sales Promotor,81753497,https://id.jobstreet.com/id/job/81753497,1
Astra Otoparts,Mekanik mobil area Sulawesi,81847433,https://id.jobstreet.com/id/job/81847433,1
Kawan Lama,Teknisi (listrik & Bangunan),82177297,https://id.jobstreet.com/id/job/82177297,1
DayaLima Recruitment,Technical Senior Supervisor Makassar,81876570,https://id.jobstreet.com/id/job/81876570,1
Astra Insurance,Account Officer (Sales Officer) - R.O. Parepare,81222191,https://id.jobstreet.com/id/job/81222191,1
Harbarindo Baharitama,Sales,81957637,https://id.jobstreet.com/id/job/81957637,1
Mitsui Sumitomo Insurance Group,Regional Sales Head Bancassurance (Makassar),81946895,https://id.jobstreet.com/id/job/81946895,1
Cendana Samudra Mas,Sales Bahan Bangunan dan Marketing Perumahan,82110158,https://id.jobstreet.com/id/job/82110158,1
Estetika Prima Duti Utama,"Dokter Kecantikan Balikpapan, Cirebon, Denpasar, dan Makassar",82297305,https://id.jobstreet.com/id/job/82297305,1
Mitra Alat Ternak,Sales Executive,81814389,https://id.jobstreet.com/id/job/81814389,1
ZTE Corporation,Admin Manager Mandarin Speaker,81867421,https://id.jobstreet.com/id/job/81867421,1
Finfleet,KURIR MOTOR SPX PANAKKUKANG HUB,82322256,https://id.jobstreet.com/id/job/82322256,1
Finfleet,Funding Officer - Makassar,81923548,https://id.jobstreet.com/id/job/81923548,1
Kawan Lama,Store Leader Optik,79714276,https://id.jobstreet.com/id/job/79714276,1
Manulife,SENIOR SALES BANCASSURANCE  AREA TANA TORAJA,81951371,https://id.jobstreet.com/id/job/81951371,1
Amartha Mikro Fintek,Kepala Cabang Wajo (Poso) Sulawesi Selatan,80991747,https://id.jobstreet.com/id/job/80991747,1
Bank Danamon,Lowongan Kerja Investment Specialist,80533606,https://id.jobstreet.com/id/job/80533606,1
Siloam Hospitals Group,Radioterapis (Makassar),82219434,https://id.jobstreet.com/id/job/82219434,1
Indo Porcelain,SALES HORECA (SULAWESI AREA),81520341,https://id.jobstreet.com/id/job/81520341,1
,Junior Architect,81796121,https://id.jobstreet.com/id/job/81796121,1
,Head Chef,81642030,https://id.jobstreet.com/id/job/81642030,1
Siloam Hospitals Group,[Makassar] Resident Medical Officer (RMO) / Dokter Jaga,82234760,https://id.jobstreet.com/id/job/82234760,1
Indodana,Sales Promotor (SPG/SPB) - Makassar,82268662,https://id.jobstreet.com/id/job/82268662,1
Nippon Indosari Corpindo,GA Field,80562967,https://id.jobstreet.com/id/job/80562967,1
Nippon Indosari Corpindo,Department Head Production & Engineering Plant,82270215,https://id.jobstreet.com/id/job/82270215,1
,Metallurgist,82357232,https://id.jobstreet.com/id/job/82357232,1
Cimory Group,Regional Account Executive Outer Island,82177245,https://id.jobstreet.com/id/job/82177245,1
,"Lead Host - Front Office, Hyatt Place Makassar",80283813,https://id.jobstreet.com/id/job/80283813,1
,Underground Geology Technician,82357033,https://id.jobstreet.com/id/job/82357033,1
Rentokil Initial,Service Technician (Makassar Project Branch),82358060,https://id.jobstreet.com/id/job/82358060,1
,Officer – Information Technology (IT) (Onsite Support),82357221,https://id.jobstreet.com/id/job/82357221,1
Indofood,Sales Admin,81202042,https://id.jobstreet.com/id/job/81202042,1
Finfleet,Sales Promotor,81796581,https://id.jobstreet.com/id/job/81796581,1
Finfleet,Sales Promotor,81748196,https://id.jobstreet.com/id/job/81748196,1
Finfleet,Sales Executive,82331958,https://id.jobstreet.com/id/job/82331958,1
Finfleet,Rider & Driver SPX Area Sulawesi Selatan,82355898,https://id.jobstreet.com/id/job/82355898,1
Finfleet,Sales Promotor,82332514,https://id.jobstreet.com/id/job/82332514,1
IMB Bank,Dokter Klinik Kecantikan,82185349,https://id.jobstreet.com/id/job/82185349,1
Seven Retail Group,Perawat Gigi (Makassar),81809774,https://id.jobstreet.com/id/job/81809774,1
RGF HR Agent Recruitment,Sales Staff Medical - Trading - Makasar,82141708,https://id.jobstreet.com/id/job/82141708,1
WireHire,Human Resource Development Head,77202379,https://id.jobstreet.com/id/job/77202379,1
